aoi,trialnum,layout,target,stimulus,part4,fixations,x1,y1,x2,y2,x3,y3,x4,y4
27B-SOC-COLD-3,27,SOC,B,COLD,3,8,591.080000,601.980000,444.570000,600.430000,442.960000,474.460000,591.080000,471.350000
31B-WIDE-LADDER-3,31,WIDE,B,LADDER,3,0,545.590000,130.160000,399.080000,128.600000,397.470000,2.630000,545.590000,-0.480000
27C-SOC-BALL,27,SOC,C,BALL,,0,447.060000,129.820000,300.550000,128.260000,298.940000,2.290000,447.060000,-0.820000
4C-WIDE-BABY,4,WIDE,C,BABY,,0,145.200000,327.670000,-1.310000,326.110000,-2.920000,200.150000,145.200000,197.040000
11C-CLOCK-SLIDE,11,CLOC,C,SLIDE,,0,793.160000,252.990000,646.650000,251.430000,645.040000,125.470000,793.160000,122.360000
21C-SOC-HAPPY,21,SOC,C,HAPPY,,0,589.060000,128.820000,442.550000,127.260000,440.940000,1.290000,589.060000,-1.820000
31X-WIDE-ALL,31,WIDE,X,ALL,,58,1.140000,1.140000,738.330000,1.140000,738.330000,739.300000,1.140000,739.300000
6B-CORNERS-SAD-1,6,CORN,B,SAD,1,17,744.800000,596.650000,598.290000,595.090000,596.680000,469.130000,744.800000,466.020000
26C-WIDE-LADDER,26,WIDE,C,LADDER,,0,543.780000,128.560000,397.270000,127.000000,395.660000,1.040000,543.780000,-2.080000
27B-SOC-HOT-2,27,SOC,B,HOT,2,9,588.040000,440.650000,441.530000,439.090000,439.920000,313.130000,588.040000,310.020000
20C-CLOCK-LADDER,20,CLOC,C,LADDER,,0,795.760000,644.260000,649.250000,642.710000,647.640000,516.740000,795.760000,513.630000
25B-CORNERS-LADDER-1,25,CORN,B,LADDER,1,0,149.170000,599.780000,2.660000,598.220000,1.050000,472.260000,149.170000,469.150000
5B-CLOCK-GIRL-1,5,CLOC,B,GIRL,1,0,148.680000,528.430000,2.170000,526.870000,0.560000,400.910000,148.680000,397.790000
26C-WIDE-COLD,26,WIDE,C,COLD,,0,740.780000,741.400000,594.270000,739.840000,592.660000,613.870000,740.780000,610.760000
12C-CLOCK-SLIDING-T,12,CLOC,D,SLIDING,T,0,683.330000,125.980000,536.820000,124.430000,535.210000,-1.540000,683.330000,-4.650000
11C-CLOCK-BALL,11,CLOC,C,BALL,,0,796.160000,379.990000,649.650000,378.430000,648.040000,252.470000,796.160000,249.360000
23C-CORNERS-SLIDING,23,CORN,C,SLIDING,,0,592.800000,132.280000,446.290000,130.730000,444.680000,4.760000,592.800000,1.650000
29C-WIDE-BOY,29,WIDE,C,BOY,,0,145.310000,533.560000,-1.200000,532.000000,-2.810000,406.040000,145.310000,402.920000
22C-WIDE-SLIDING,22,WIDE,C,SLIDING,,0,346.080000,128.920000,199.570000,127.370000,197.960000,1.400000,346.080000,-1.710000
4C-WIDE-HAPPY,4,WIDE,C,HAPPY,,0,742.190000,131.240000,595.680000,129.680000,594.070000,3.710000,742.190000,0.600000
3A-CLOCK-SAD,3,CLOC,A,SAD,,30,254.180000,772.690000,107.670000,771.140000,106.060000,645.170000,254.180000,642.060000
30C-CORNERS-SWING,30,CORN,C,SWING,,5,146.100000,741.960000,-0.410000,740.410000,-2.020000,614.440000,146.100000,611.330000
13C-SOC-SLIDING,13,SOC,C,SLIDING,,0,297.060000,282.820000,150.550000,281.260000,148.940000,155.290000,297.060000,152.180000
4B-WIDE-SWING-2,4,WIDE,B,SWING,2,0,540.800000,530.650000,394.290000,529.090000,392.680000,403.130000,540.800000,400.020000
29X-WIDE-ALL,29,WIDE,X,ALL,,44,0.140000,1.140000,737.330000,1.140000,737.330000,739.300000,0.140000,739.300000
28C-CORNERS-LADDER,28,CORN,C,LADDER,,7,148.160000,602.510000,1.650000,600.950000,0.040000,474.990000,148.160000,471.880000
29B-WIDE-SWINGING-2,29,WIDE,B,SWINGING,2,0,348.840000,736.980000,202.330000,735.430000,200.720000,609.460000,348.840000,606.350000
2C-SOC-SWINGING-T,2,SOC,D,SWINGING,T,17,297.560000,439.320000,151.050000,437.760000,149.440000,311.790000,297.560000,308.680000
11B-CLOCK-BABY-2,11,CLOC,B,BABY,2,8,148.990000,384.230000,2.480000,382.670000,0.870000,256.710000,148.990000,253.600000
1C-WIDE-GIRL,1,WIDE,C,GIRL,,0,148.460000,131.640000,1.940000,130.090000,0.330000,4.120000,148.460000,1.010000
10C-CORNERS-GIRL,10,CORN,C,GIRL,,0,147.160000,130.510000,0.650000,128.950000,-0.960000,2.990000,147.160000,-0.120000
15C-CORNERS-COLD,15,CORN,C,COLD,,0,741.810000,741.070000,595.300000,739.510000,593.690000,613.550000,741.810000,610.440000
